variance,max H,max S,max V,H*S,ok not ok,
122,177,144,255,25488,1,
121,177,149,255,26373,1,
114,177,132,255,23364,1,
120,176,140,255,24640,1,
118,177,129,255,22833,1,
109,178,128,255,22784,1,
252,177,132,255,23364,1,
129,178,132,255,23496,1,
703,178,132,255,23496,1,
1170,179,121,255,21659,1,
402,179,139,255,24881,1,
113,176,141,255,24816,1,
117,179,142,255,25418,1,
127,178,140,255,24920,1,
178,178,144,255,25632,1,
187,179,144,255,25776,1,
176,179,145,255,25955,1,
176,178,145,255,25810,1,
188,179,153,255,27387,1,
1040,178,154,255,27412,1,
1010,179,143,255,25597,1,
223,179,149,255,26671,1,
543,179,144,255,25776,1,
206,179,143,255,25597,1,
214,178,144,255,25632,1,
203,177,143,255,25311,1,
217,178,145,255,25810,1,
205,177,145,255,25665,1,
205,178,143,255,25454,1,
202,179,143,255,25597,1,
223,178,140,255,24920,1,
200,178,144,255,25632,1,
629,179,137,255,24523,1,
695,178,149,255,26522,1,
378,179,146,255,26134,1,
356,177,145,255,25665,1,
345,177,146,255,25842,1,
347,178,145,255,25810,1,
331,179,149,255,26671,1,
315,178,152,255,27056,1,
232,178,155,255,27590,1,
224,178,155,255,27590,1,
522,177,156,255,27612,1,
683,179,146,255,26134,1,
229,179,148,255,26492,1,
231,179,150,255,26850,1,
223,179,152,255,27208,1,
205,179,153,255,27387,1,
184,179,154,255,27566,1,
232,179,153,255,27387,1,
226,179,152,255,27208,1,
210,179,152,255,27208,1,
544,178,151,255,26878,1,
247,178,157,255,27946,1,
232,178,160,255,28480,1,
237,178,159,255,28302,1,
230,179,159,255,28461,1,
213,178,161,255,28658,1,
188,179,164,255,29356,1,
162,178,165,255,29370,1,
162,178,165,255,29370,1,
162,178,166,255,29548,1,
178,179,144,255,25776,1,
154,177,136,255,24072,1,
169,178,130,255,23140,1,
170,178,124,255,22072,1,
161,176,122,255,21472,1,
136,176,123,255,21648,1,
153,177,122,255,21594,1,
308,177,120,255,21240,1,
97,176,118,255,20768,1,
72,176,118,255,20768,1,
63,176,118,255,20768,1,
63,176,118,255,20768,1,
59,176,119,255,20944,1,
49,177,119,255,21063,1,
42,178,117,255,20826,1,
43,178,117,255,20826,1,
211,179,114,255,20406,1,
150,178,113,255,20114,1,
150,178,113,255,20114,1,
67,178,114,255,20292,1,
71,178,113,255,20114,1,
34,178,113,255,20114,1,
34,178,113,255,20114,1,
77,178,112,255,19936,1,
84,176,129,255,22704,1,
84,176,129,255,22704,1,
78,176,129,255,22704,1,
110,176,129,255,22704,1,
132,176,131,255,23056,1,
132,176,131,255,23056,1,
147,177,130,255,23010,1,
147,177,130,255,23010,1,
165,178,130,255,23140,1,
142,177,125,255,22125,1,
196,177,125,255,22125,1,
197,177,125,255,22125,1,
247,177,124,255,21948,1,
247,177,124,255,21948,1,
273,179,124,255,22196,1,
273,179,124,255,22196,1,
279,178,124,255,22072,1,
24,177,123,255,21771,1,
89,179,121,255,21659,1,
89,179,121,255,21659,1,
27,179,121,255,21659,1,
27,179,121,255,21659,1,
14,179,120,255,21480,1,
64,179,121,255,21659,1,
64,179,121,255,21659,1,
36,178,114,255,20292,1,
36,178,114,255,20292,1,
25,178,114,255,20292,1,
25,178,114,255,20292,1,
26,178,114,255,20292,1,
26,178,114,255,20292,1,
26,178,114,255,20292,1,
26,178,114,255,20292,1,
291,179,163,255,29177,1,
291,179,163,255,29177,1,
291,179,163,255,29177,1,
291,179,163,255,29177,1,
237,179,164,255,29356,1,
237,179,164,255,29356,1,
206,179,164,255,29356,1,
130,179,164,255,29356,1,
128,179,160,255,28640,1,
219,179,181,255,32399,1,
215,179,181,255,32399,1,
215,179,181,255,32399,1,
216,179,181,255,32399,1,
358,179,181,255,32399,1,
255,179,181,255,32399,1,
829,179,189,255,33831,1,
829,179,189,255,33831,1,
829,179,189,255,33831,1,
829,179,189,255,33831,1,
888,178,200,255,35600,1,
888,178,200,255,35600,1,
888,178,200,255,35600,1,
888,178,200,255,35600,1,
888,178,200,255,35600,1,
888,178,200,255,35600,1,
888,178,200,255,35600,1,
888,178,200,255,35600,1,
888,178,200,255,35600,1,
888,178,200,255,35600,1,
867,179,199,255,35621,1,
283,178,194,255,34532,1,
283,178,194,255,34532,1,
283,178,194,255,34532,1,
283,178,194,255,34532,1,
283,178,194,255,34532,1,
283,178,193,255,34354,1,
283,178,193,255,34354,1,
283,178,193,255,34354,1,
284,178,192,255,34176,1,
377,178,175,255,31150,1,
478,178,175,255,31150,1,
478,178,175,255,31150,1,
478,178,175,255,31150,1,
478,178,175,255,31150,1,
478,178,175,255,31150,1,
478,178,175,255,31150,1,
521,178,175,255,31150,1,
521,178,175,255,31150,1,
521,178,175,255,31150,1,
545,178,168,255,29904,1,
545,178,168,255,29904,1,
472,178,168,255,29904,1,
468,178,168,255,29904,1,
468,178,168,255,29904,1,
468,178,168,255,29904,1,
555,178,168,255,29904,1,
555,178,168,255,29904,1,
555,178,168,255,29904,1,
382,179,177,255,31683,1,
387,179,175,255,31325,1,
474,179,176,255,31504,1,
474,179,176,255,31504,1,
474,179,176,255,31504,1,
474,179,176,255,31504,1,
474,179,176,255,31504,1,
533,179,179,255,32041,1,
533,179,179,255,32041,1,
560,179,177,255,31683,1,
513,179,181,255,32399,1,
543,179,181,255,32399,1,
543,179,181,255,32399,1,
543,179,181,255,32399,1,
611,178,180,255,32040,1,
609,178,181,255,32218,1,
609,178,181,255,32218,1,
626,178,179,255,31862,1,
554,176,185,255,32560,1,
554,176,185,255,32560,1,
554,176,185,255,32560,1,
632,177,185,255,32745,1,
632,177,185,255,32745,1,
810,176,186,255,32736,1,
850,177,186,255,32922,1,
850,177,186,255,32922,1,
850,177,186,255,32922,1,
858,179,186,255,33294,1,
670,178,201,255,35778,1,
670,178,201,255,35778,1,
724,178,202,255,35956,1,
724,178,202,255,35956,1,
724,178,202,255,35956,1,
762,178,202,255,35956,1,
762,178,202,255,35956,1,
762,178,202,255,35956,1,
746,178,204,255,36312,1,
746,178,204,255,36312,1,
577,175,188,255,32900,1,
577,175,188,255,32900,1,
644,176,184,255,32384,1,
633,176,185,255,32560,1,
648,177,186,255,32922,1,
635,177,184,255,32568,1,
618,176,190,255,33440,1,
618,176,190,255,33440,1,
662,178,206,255,36668,1,
662,178,206,255,36668,1,
729,178,209,255,37202,1,
729,178,209,255,37202,1,
771,178,208,255,37024,1,
771,178,208,255,37024,1,
772,176,206,255,36256,1,
772,176,206,255,36256,1,
732,176,204,255,35904,1,
724,178,183,255,32574,1,
769,178,181,255,32218,1,
780,178,181,255,32218,1,
