variance,max H,max S,max V,H*S,ok not ok
1.99E+03,171,123,255,21033,1
1.99E+03,171,123,255,21033,1
1.99E+03,171,123,255,21033,1
1.99E+03,171,123,255,21033,1
1.99E+03,171,123,255,21033,1
1.99E+03,171,123,255,21033,1
1.83E+03,169,119,255,20111,1
1.83E+03,169,119,255,20111,1
1.83E+03,169,119,255,20111,1
1.83E+03,169,119,255,20111,1
1.83E+03,169,119,255,20111,1
1.82E+03,169,119,255,20111,1
1.82E+03,169,119,255,20111,1
1.82E+03,169,119,255,20111,1
1.80E+03,169,119,255,20111,1
1.88E+03,169,119,255,20111,1
1.89E+03,171,122,255,20862,1
1.89E+03,171,121,255,20691,1
1.89E+03,171,121,255,20691,1
1.89E+03,171,121,255,20691,1
1.89E+03,171,120,255,20520,1
1.89E+03,171,120,255,20520,1
1.89E+03,171,120,255,20520,1
1.89E+03,171,120,255,20520,1
1.89E+03,171,120,255,20520,1
1.89E+03,171,120,255,20520,1
1.79E+03,171,108,255,18468,1
1.79E+03,171,108,255,18468,1
1.79E+03,171,108,255,18468,1
1.79E+03,171,108,255,18468,1
1.79E+03,171,108,255,18468,1
1.79E+03,171,108,255,18468,1
1.79E+03,171,110,255,18810,1
1.79E+03,171,110,255,18810,1
1.79E+03,171,110,255,18810,1
1.79E+03,172,112,255,19264,1
1.91E+03,171,111,255,18981,1
1.79E+03,170,109,255,18530,1
1.79E+03,170,109,255,18530,1
1.79E+03,169,108,255,18252,1
1.79E+03,169,108,255,18252,1
1.79E+03,169,108,255,18252,1
1.78E+03,169,107,255,18083,1
1.78E+03,169,107,255,18083,1
1.78E+03,169,107,255,18083,1
1.78E+03,169,107,255,18083,1
1.78E+03,169,107,255,18083,1
1.41E+03,172,82,255,14104,1
1.39E+03,172,82,255,14104,1
1.39E+03,172,82,255,14104,1
1.39E+03,172,82,255,14104,1
1.37E+03,171,82,255,14022,1
1.42E+03,171,82,255,14022,1
1.42E+03,171,82,255,14022,1
1.42E+03,171,82,255,14022,1
1.42E+03,171,82,255,14022,1
1.42E+03,171,82,255,14022,1
1.65E+03,168,110,255,18480,1
1.65E+03,168,110,255,18480,1
1.65E+03,168,110,255,18480,1
1.65E+03,168,110,255,18480,1
1.65E+03,168,110,255,18480,1
1.65E+03,168,110,255,18480,1
1.65E+03,168,109,255,18312,1
1.65E+03,168,109,255,18312,1
1.65E+03,168,109,255,18312,1
1.65E+03,168,109,255,18312,1
2.40E+03,172,125,255,21500,1
2.40E+03,172,125,255,21500,1
2.40E+03,172,125,255,21500,1
